,Algorithm,Samples,Score,Iterations
642,RHC,50,2841.0846997141243,36.0
643,RHC,50,2841.0846997141243,37.0
644,RHC,50,2841.0846997141243,38.0
645,RHC,50,2851.1569848210556,40.0
646,RHC,50,2882.8733095720745,42.0
647,RHC,50,2882.8733095720745,43.0
648,RHC,50,2882.8733095720745,44.0
649,RHC,50,2887.3205929441624,46.0
650,RHC,50,2887.3205929441624,47.0
651,RHC,50,2887.3205929441624,48.0
652,RHC,50,2887.426991075569,50.0
653,RHC,50,2887.426991075569,51.0
654,RHC,50,2887.426991075569,52.0
655,RHC,50,2887.426991075569,53.0
656,RHC,50,2887.426991075569,54.0
657,RHC,50,2959.2606135295887,56.0
658,RHC,50,2959.2606135295887,57.0
659,RHC,50,2959.2606135295887,58.0
660,RHC,50,2959.2606135295887,59.0
661,RHC,50,2959.2606135295887,60.0
662,RHC,50,2982.030948270033,62.0
663,RHC,50,2982.030948270033,63.0
664,RHC,50,2995.033277954252,65.0
665,RHC,50,3013.4028027612317,67.0
666,RHC,50,3019.9387555956105,69.0
667,RHC,50,3019.9387555956105,70.0
668,RHC,50,3019.9387555956105,71.0
669,RHC,50,3019.9387555956105,72.0
670,RHC,50,3021.8825491719326,74.0
671,RHC,50,3021.8825491719326,75.0
672,RHC,50,3021.8825491719326,76.0
673,RHC,50,3093.657425758589,78.0
674,RHC,50,3093.657425758589,79.0
675,RHC,50,3094.0508741165345,81.0
676,RHC,50,3094.0508741165345,82.0
677,RHC,50,3113.9788999168104,84.0
678,RHC,50,3113.9788999168104,85.0
679,RHC,50,3113.9788999168104,86.0
680,RHC,50,3113.9788999168104,87.0
681,RHC,50,3113.9788999168104,88.0
682,RHC,50,3113.9788999168104,89.0
683,RHC,50,3113.9788999168104,90.0
684,RHC,50,3113.9788999168104,91.0
685,RHC,50,3113.9788999168104,92.0
686,RHC,50,3113.9788999168104,93.0
687,RHC,50,3113.9788999168104,94.0
688,GENETIC,50,2956.1942038279985,402.0
689,GENETIC,50,2956.1942038279985,603.0
690,GENETIC,50,2956.1942038279985,804.0
691,GENETIC,50,2956.1942038279985,1005.0
692,GENETIC,50,2956.1942038279985,1206.0
693,GENETIC,50,2961.273799287836,1408.0
694,GENETIC,50,3011.6822488881053,1610.0
695,GENETIC,50,3011.6822488881053,1811.0
696,GENETIC,50,3059.0302794949703,2013.0
697,GENETIC,50,3059.0302794949703,2214.0
698,GENETIC,50,3094.6233195197874,2416.0
699,GENETIC,50,3094.6233195197874,2617.0
700,GENETIC,50,3094.6233195197874,2818.0
701,GENETIC,50,3107.219488088432,3020.0
702,GENETIC,50,3107.219488088432,3221.0
703,GENETIC,50,3107.219488088432,3422.0
704,GENETIC,50,3107.219488088432,3623.0
705,GENETIC,50,3121.525748303476,3825.0
706,GENETIC,50,3121.525748303476,4026.0
707,GENETIC,50,3128.1250645316027,4228.0
708,GENETIC,50,3149.49420969772,4430.0
709,GENETIC,50,3149.49420969772,4631.0
710,GENETIC,50,3149.49420969772,4832.0
711,GENETIC,50,3188.22482799673,5034.0
712,GENETIC,50,3188.22482799673,5235.0
713,GENETIC,50,3188.22482799673,5436.0
714,GENETIC,50,3200.7591122681633,5638.0
715,GENETIC,50,3200.7591122681633,5839.0
716,GENETIC,50,3212.019744925704,6041.0
717,GENETIC,50,3212.019744925704,6242.0
718,GENETIC,50,3236.1900898257895,6444.0
719,GENETIC,50,3236.1900898257895,6645.0
720,GENETIC,50,3251.3191732861505,6847.0
721,GENETIC,50,3251.3191732861505,7048.0
722,GENETIC,50,3251.3191732861505,7249.0
723,GENETIC,50,3251.3191732861505,7450.0
724,GENETIC,50,3251.3191732861505,7651.0
725,GENETIC,50,3251.3191732861505,7852.0
726,GENETIC,50,3269.804100610483,8054.0
727,GENETIC,50,3269.804100610483,8255.0
728,GENETIC,50,3281.9666609880173,8457.0
729,GENETIC,50,3281.9666609880173,8658.0
730,GENETIC,50,3281.9666609880173,8859.0
731,GENETIC,50,3281.9666609880173,9060.0
732,GENETIC,50,3281.9666609880173,9261.0
733,GENETIC,50,3284.757475345046,9463.0
734,GENETIC,50,3284.757475345046,9664.0
735,GENETIC,50,3287.8398658422398,9866.0
736,GENETIC,50,3287.8398658422398,10067.0
737,GENETIC,50,3291.1034167294697,10269.0
738,GENETIC,50,3291.1034167294697,10470.0
739,GENETIC,50,3293.86780798034,10672.0
740,GENETIC,50,3327.5946694529766,10874.0
741,GENETIC,50,3327.5946694529766,11075.0
742,GENETIC,50,3327.5946694529766,11276.0
743,GENETIC,50,3348.367635428081,11478.0
744,GENETIC,50,3348.367635428081,11679.0
745,GENETIC,50,3348.367635428081,11880.0
746,GENETIC,50,3348.367635428081,12081.0
747,GENETIC,50,3357.631816693564,12283.0
748,GENETIC,50,3357.631816693564,12484.0
749,GENETIC,50,3357.631816693564,12685.0
750,GENETIC,50,3357.631816693564,12886.0
751,GENETIC,50,3366.180035983444,13088.0
752,GENETIC,50,3366.180035983444,13289.0
753,GENETIC,50,3375.444217248927,13491.0
754,GENETIC,50,3375.444217248927,13692.0
755,GENETIC,50,3375.444217248927,13893.0
756,GENETIC,50,3377.0502067084944,14095.0
757,GENETIC,50,3377.0502067084944,14296.0
758,GENETIC,50,3377.0502067084944,14497.0
759,GENETIC,50,3377.0502067084944,14698.0
760,GENETIC,50,3377.0502067084944,14899.0
761,GENETIC,50,3377.0502067084944,15100.0
762,GENETIC,50,3380.3109108085014,15302.0
763,GENETIC,50,3386.841159393436,15504.0
764,GENETIC,50,3386.841159393436,15705.0
765,GENETIC,50,3392.7369387942194,15907.0
766,GENETIC,50,3392.7369387942194,16108.0
767,GENETIC,50,3399.079263045463,16310.0
768,GENETIC,50,3399.079263045463,16511.0
769,GENETIC,50,3399.079263045463,16712.0
770,GENETIC,50,3408.8702157304056,16914.0
771,GENETIC,50,3408.8702157304056,17115.0
772,GENETIC,50,3408.8702157304056,17316.0
773,GENETIC,50,3408.8702157304056,17517.0
774,GENETIC,50,3408.8702157304056,17718.0
775,GENETIC,50,3408.8702157304056,17919.0
776,GENETIC,50,3410.608661312464,18121.0
777,GENETIC,50,3413.109829908778,18323.0
778,GENETIC,50,3413.109829908778,18524.0
779,GENETIC,50,3413.109829908778,18725.0
780,GENETIC,50,3413.109829908778,18926.0
781,GENETIC,50,3413.109829908778,19127.0
782,GENETIC,50,3413.109829908778,19328.0
783,GENETIC,50,3413.109829908778,19529.0
784,GENETIC,50,3413.109829908778,19730.0
785,GENETIC,50,3413.109829908778,19931.0
786,GENETIC,50,3416.07063464159,20133.0
787,GENETIC,50,3416.07063464159,20334.0
788,GENETIC,50,3420.0649527952373,20536.0
789,GENETIC,50,3420.0649527952373,20737.0
790,GENETIC,50,3424.1082356784677,20939.0
791,GENETIC,50,3426.798143898172,21141.0
792,GENETIC,50,3426.798143898172,21342.0
793,GENETIC,50,3426.798143898172,21543.0
794,GENETIC,50,3426.798143898172,21744.0
795,GENETIC,50,3426.798143898172,21945.0
796,GENETIC,50,3426.798143898172,22146.0
797,GENETIC,50,3426.798143898172,22347.0
798,GENETIC,50,3426.798143898172,22548.0
799,GENETIC,50,3426.798143898172,22749.0
800,GENETIC,50,3426.798143898172,22950.0
801,GENETIC,50,3437.2495369210596,23152.0
802,GENETIC,50,3437.2495369210596,23353.0
803,GENETIC,50,3437.2495369210596,23554.0
804,GENETIC,50,3437.2495369210596,23755.0
805,GENETIC,50,3437.2495369210596,23956.0
806,GENETIC,50,3440.2977182641753,24158.0
807,GENETIC,50,3440.2977182641753,24359.0
808,GENETIC,50,3440.2977182641753,24560.0
809,GENETIC,50,3440.2977182641753,24761.0
810,GENETIC,50,3440.2977182641753,24962.0
811,GENETIC,50,3445.7350476273837,25164.0
812,GENETIC,50,3445.7350476273837,25365.0
813,GENETIC,50,3445.7350476273837,25566.0
814,GENETIC,50,3447.1386268606593,25768.0
815,GENETIC,50,3447.1386268606593,25969.0
816,GENETIC,50,3447.1386268606593,26170.0
817,GENETIC,50,3447.1386268606593,26371.0
818,GENETIC,50,3447.1386268606593,26572.0
819,GENETIC,50,3447.4435912023205,26774.0
820,GENETIC,50,3447.4435912023205,26975.0
821,GENETIC,50,3447.4435912023205,27176.0
822,GENETIC,50,3448.847170435596,27378.0
823,GENETIC,50,3449.0838302163643,27580.0
824,GENETIC,50,3452.5759562238677,27782.0
