,Algorithm,Samples,Score,Iterations
888,SIMANNEAL,50,42.0,110.0
889,SIMANNEAL,50,42.0,111.0
890,SIMANNEAL,50,41.0,113.0
891,SIMANNEAL,50,41.0,114.0
892,SIMANNEAL,50,41.0,115.0
893,SIMANNEAL,50,41.0,116.0
894,SIMANNEAL,50,41.0,117.0
895,SIMANNEAL,50,42.0,119.0
896,SIMANNEAL,50,42.0,120.0
897,SIMANNEAL,50,42.0,121.0
898,SIMANNEAL,50,41.0,123.0
899,SIMANNEAL,50,41.0,124.0
900,SIMANNEAL,50,41.0,125.0
901,SIMANNEAL,50,40.0,127.0
902,SIMANNEAL,50,41.0,129.0
903,SIMANNEAL,50,41.0,130.0
904,SIMANNEAL,50,41.0,131.0
905,SIMANNEAL,50,42.0,133.0
906,SIMANNEAL,50,41.0,135.0
907,SIMANNEAL,50,41.0,136.0
908,SIMANNEAL,50,41.0,137.0
909,SIMANNEAL,50,41.0,138.0
910,SIMANNEAL,50,41.0,139.0
911,SIMANNEAL,50,41.0,140.0
912,SIMANNEAL,50,41.0,141.0
913,SIMANNEAL,50,41.0,142.0
914,SIMANNEAL,50,41.0,143.0
915,SIMANNEAL,50,41.0,144.0
916,SIMANNEAL,50,41.0,145.0
